StudentID,Name,Age,Gender,Program,Year,AttendancePercent,CGPA,EnrolledDate,Status,ScholarshipStatus,HostelResident,PlacementStatus,TotalFeeINR,FeePaidINR,PendingFeeINR,FeeStatus,City,State
S0001,Arunima Sekhon,20,Female,B.Tech (ECE),4,91.28,5.54,07-09-2024,Dropped,Yes,Yes,Not Placed,550000,265616.61,9383.39,Partial,Mumbai,Maharashtra
S0002,Noah Setty,18,Male,B.Sc (Physics),3,66.9,7.78,02-02-2023,Graduated,Yes,Yes,,220000,77726.03,32273.97,Partial,Mumbai,Maharashtra
S0003,Yatin Nadig,20,Male,MBA,1,81.34,5.13,18-09-2023,Active,No,No,Not Placed,450000,192569.47,257430.53,Partial,Bhopal,Madhya Pradesh
S0004,Nisha Kanda,19,Male,B.Tech (CSE),3,80.78,9.19,12-04-2023,Graduated,No,No,,600000,504207.43,95792.57,Partial,Jaipur,Rajasthan
S0005,Zilmil Deshpande,20,Male,BBA,1,87.18,7.17,23-08-2022,On Leave,Yes,Yes,,300000,119373.38,30626.62,Partial,Kolkata,West Bengal
S0006,Jairaj Date,22,Male,B.Tech (ECE),2,75.02,7,26-03-2023,Dropped,Yes,Yes,,550000,115784.94,159215.06,Partial,Bengaluru,Karnataka
S0007,Harinakshi Bawa,22,Female,B.Sc (Physics),2,82.05,6.59,19-06-2022,Graduated,Yes,Yes,,220000,149764.75,15235.25,Partial,Pune,Maharashtra
S0008,Anjali Kumer,18,Female,B.Sc (Physics),4,76.24,8.5,28-11-2024,On Leave,Yes,Yes,,220000,114596.82,50403.18,Partial,Bengaluru,Karnataka
S0009,Robert Chaudry,23,Male,BBA,1,91.24,6.45,28-01-2024,Active,Yes,No,,300000,202243.77,22756.23,Partial,Jaipur,Rajasthan
S0010,Isaiah Narasimhan,19,Male,MCA,1,64.45,7.47,03-10-2022,On Leave,No,Yes,Not Placed,350000,163858.52,186141.48,Partial,Mumbai,Maharashtra
S0011,Chatura Dugar,23,Female,B.Tech (ECE),1,79.03,8.95,25-02-2025,Active,Yes,No,,550000,225556.82,49443.18,Partial,Kolkata,West Bengal
S0012,Yadavi Madan,23,Male,B.Sc (Physics),2,84.94,9.23,02-04-2023,Active,No,No,,220000,211789.02,8210.98,Partial,Pune,Maharashtra
S0013,Ekantika Wable,22,Male,MCA,2,76.81,6,03-03-2025,Active,Yes,No,Placed,350000,170724.58,4275.42,Partial,Ahmedabad,Gujarat
S0014,Luke Samra,25,Female,MCA,2,65.37,5.38,23-04-2022,On Leave,Yes,No,,350000,136385.28,126114.72,Partial,Ahmedabad,Gujarat
S0015,Kavya Borde,18,Female,B.Sc (Physics),1,84.73,8.22,16-06-2024,Dropped,Yes,No,,220000,67826.54,97173.46,Partial,Hyderabad,Telangana
S0016,Kavya Gaba,22,Female,B.Sc (Maths),4,68.21,5.68,02-08-2025,On Leave,No,Yes,,200000,131594.85,68405.15,Partial,Bengaluru,Karnataka
S0017,Nikita Kara,20,Female,B.Tech (CSE),3,92.88,8.84,19-02-2022,Dropped,Yes,No,,600000,124565.02,175434.98,Partial,Hyderabad,Telangana
S0018,Pooja Dara,22,Male,B.Sc (Physics),1,89.31,7.4,28-03-2024,Active,Yes,No,,220000,138292.04,26707.96,Partial,Pune,Maharashtra
S0019,Bakhshi Kothari,18,Male,B.Com,1,67.58,5.96,22-06-2023,Graduated,Yes,No,,250000,142316.65,45183.35,Partial,Kolkata,West Bengal
S0020,Tristan Kanda,21,Male,MBA,1,83.15,7.83,17-06-2025,Active,Yes,Yes,Placed,450000,327157.15,10342.85,Partial,Patna,Bihar
S0021,Yochana Pall,21,Male,B.Com,1,84.81,6.88,26-04-2025,Active,Yes,Yes,,250000,84994.52,40005.48,Partial,Jaipur,Rajasthan
S0022,Mohammed Chanda,20,Female,MCA,1,80.01,8.99,11-06-2023,Active,Yes,Yes,,350000,101002.71,73997.29,Partial,Chennai,Tamil Nadu
S0023,Veda Jha,18,Female,B.Com,1,79.01,7.04,20-01-2025,Graduated,Yes,No,,250000,111714.22,75785.78,Partial,Patna,Bihar
S0024,Ayushman Savant,18,Male,B.Tech (ECE),1,93.83,8.48,12-06-2022,Active,No,Yes,,550000,248250.77,301749.23,Partial,Chandigarh,Punjab
S0025,Arin Kamdar,20,Male,B.Com,4,86.77,8.86,16-11-2022,On Leave,Yes,No,,250000,184752.66,2747.34,Partial,Lucknow,Uttar Pradesh
S0026,Saanvi Raja,18,Female,BBA,1,67.51,7.06,28-12-2021,Active,Yes,No,,300000,136155.2,88844.8,Partial,Delhi,Delhi
S0027,Jason Kunda,25,Male,BBA,2,78.97,7.52,05-06-2022,Dropped,No,Yes,,300000,193556.52,106443.48,Partial,Chandigarh,Punjab
S0028,Luke Ram,18,Female,B.Sc (Physics),2,80.46,6.62,01-04-2023,Graduated,No,No,,220000,72507.8,147492.2,Partial,Chennai,Tamil Nadu
S0029,Bahadurjit Barad,23,Female,B.Tech (ECE),4,92.88,8.12,31-03-2025,Graduated,No,Yes,,550000,332928.95,217071.05,Partial,Cochin,Kerala
S0030,Anmol Malhotra,19,Male,B.Sc (Physics),1,83.87,7.56,19-02-2024,Graduated,Yes,Yes,,220000,62316.51,47683.49,Partial,Hyderabad,Telangana
S0031,Forum Shenoy,25,Female,MCA,2,82.54,9.23,15-10-2021,Dropped,Yes,Yes,Not Placed,350000,128327.42,134172.58,Partial,Kolkata,West Bengal
S0032,Chakradhar Deol,25,Male,B.Tech (ECE),3,88.05,7.45,14-04-2025,Graduated,No,Yes,,550000,280843.44,269156.56,Partial,Jaipur,Rajasthan
S0033,Ekaraj Vora,19,Male,MBA,1,60.59,6.32,17-04-2025,Dropped,Yes,Yes,,450000,303988.09,33511.91,Partial,Mumbai,Maharashtra
S0034,Mugdha Puri,25,Female,B.Sc (Physics),3,67.29,7.64,07-06-2022,Active,Yes,No,,220000,35389.1,74610.9,Partial,Bhopal,Madhya Pradesh
S0035,Oni Pradhan,24,Male,MBA,1,77.19,7.92,22-09-2024,Dropped,Yes,Yes,Placed,450000,107857.57,117142.43,Partial,Mumbai,Maharashtra
S0036,Girindra Prabhu,19,Male,MCA,2,73.14,7.81,26-09-2024,Active,No,Yes,Not Placed,350000,127633.95,222366.05,Partial,Hyderabad,Telangana
S0037,Vincent Kota,23,Female,B.Tech (ECE),3,70.87,5.21,22-11-2024,Dropped,Yes,No,,550000,133709.01,141290.99,Partial,Cochin,Kerala
S0038,Saanvi Devi,24,Female,B.Tech (CSE),3,75.36,8.41,18-09-2021,On Leave,Yes,No,,600000,298828.06,1171.94,Partial,Pune,Maharashtra
S0039,Tanmayi Chaudhuri,21,Male,B.Sc (Physics),2,95.42,8.76,18-10-2021,Graduated,Yes,Yes,,220000,85128.07,24871.93,Partial,Chennai,Tamil Nadu
S0040,Mekhala Sheth,21,Male,B.Sc (Maths),4,91.67,6.49,30-11-2021,Dropped,Yes,No,,200000,97631.02,2368.98,Partial,Ahmedabad,Gujarat
S0041,Jason Banerjee,22,Male,B.Sc (Physics),1,83.18,6.11,15-05-2024,Dropped,Yes,No,,220000,162652.64,2347.36,Partial,Ahmedabad,Gujarat
S0042,Advik Shanker,21,Male,MCA,1,93,5.02,31-05-2023,Active,Yes,Yes,Placed,350000,98329.31,76670.69,Partial,Lucknow,Uttar Pradesh
S0043,Yamini Ramakrishnan,22,Male,B.Com,2,90.75,6.71,09-11-2024,Dropped,No,No,,250000,115109.61,134890.39,Partial,Kolkata,West Bengal
S0044,Hiral Kurian,24,Female,B.Sc (Maths),4,65.99,5.38,09-12-2023,Active,No,Yes,,200000,62948.04,137051.96,Partial,Hyderabad,Telangana
S0045,Warda Mani,20,Male,MBA,1,94.25,9.2,26-06-2023,On Leave,Yes,Yes,,450000,272379.61,65120.39,Partial,Chandigarh,Punjab
S0046,Andrew Dugal,21,Female,B.Tech (CSE),2,99.43,8.9,16-09-2024,On Leave,Yes,Yes,,600000,114503.1,185496.9,Partial,Hyderabad,Telangana
S0047,Thomas Gara,24,Female,B.Com,2,70.53,7.12,12-04-2024,Graduated,No,Yes,,250000,134174.95,115825.05,Partial,Cochin,Kerala
S0048,Simon Deshpande,24,Male,B.Sc (Physics),4,71.63,6.33,08-03-2022,Dropped,Yes,No,,220000,137600.41,27399.59,Partial,Lucknow,Uttar Pradesh
S0049,Kai Singh,18,Female,B.Com,3,66.81,9.4,05-05-2025,Dropped,No,No,,250000,190849.83,59150.17,Partial,Ahmedabad,Gujarat
S0050,Samaksh Naik,21,Female,B.Tech (CSE),2,62.51,8.24,19-02-2025,Active,Yes,No,,600000,197419.76,252580.24,Partial,Delhi,Delhi
S0051,Sneha Bhat,20,Female,B.Tech (ECE),4,83.74,6.49,28-02-2025,Graduated,No,No,Placed,550000,213340.72,336659.28,Partial,Pune,Maharashtra
